PaaHheliquest,Paa.pre.Hheliquest,Paa.post.Hheliquest,Hnetcharge,Seqnetcharge,Hydro,Paa.pre.Hhydro,Paa.post.Hhydro,HydrMom,Paa.pre.Hhydrmom,Paa.post.Hhydrmom
0.0,0.0,0.0,0.0,4.0,0.54,0.0,0.4782608695652174,0.47223000000000004,0.08695652173913043,0.391304347826087
0.0,0.0,0.0,0.0,5.0,0.71778,0.4230769230769231,0.11538461538461539,0.47217,0.5769230769230769,-0.038461538461538464
0.9152542372881356,0.0,0.0847457627118644,6.0,8.0,0.9077799999999999,0.3220338983050847,0.4745762711864407,0.47984,0.4406779661016949,0.3559322033898305
0.5714285714285714,0.0,0.42857142857142855,3.0,5.0,0.83111,0.09523809523809523,0.3333333333333333,0.60892,0.0,0.42857142857142855
0.0,0.0,0.0,0.0,5.0,0.40221999999999997,0.55,-0.15,0.61836,0.4,0.0
0.6,0.3142857142857143,0.02857142857142857,3.0,2.0,1.5522200000000002,0.3142857142857143,0.34285714285714286,0.57114,0.6857142857142857,-0.02857142857142857
0.0,0.0,0.0,0.0,8.0,0.5888899999999999,0.4838709677419355,0.12903225806451613,0.5614,0.7096774193548387,-0.0967741935483871
0.0,0.0,0.0,0.0,4.0,0.39444,0.0,0.2,0.6852699999999999,0.3333333333333333,-0.13333333333333333
0.0,0.0,0.0,0.0,3.0,0.6166699999999999,0.0,0.25,0.45828,0.0,0.25
0.7058823529411765,0.0,0.29411764705882354,3.0,3.0,0.43667,0.47058823529411764,-0.17647058823529413,0.6149600000000001,0.058823529411764705,0.23529411764705882
0.625,0.125,0.25,3.0,4.0,0.47,0.4375,-0.1875,0.6182300000000001,0.4375,-0.1875
0.28888888888888886,0.0,0.7111111111111111,2.0,7.0,1.08111,0.37777777777777777,0.35555555555555557,0.6874600000000001,0.06666666666666667,0.6666666666666666
0.8787878787878788,0.030303030303030304,0.09090909090909091,5.0,6.0,0.76,0.36363636363636365,0.2727272727272727,0.68876,0.36363636363636365,0.2727272727272727
0.19148936170212766,0.6808510638297872,0.1276595744680851,1.0,8.0,0.76556,0.2978723404255319,0.44680851063829785,0.8457100000000001,0.2978723404255319,0.44680851063829785
0.8,0.0,0.0,3.0,4.0,0.77556,0.08571428571428572,0.5714285714285714,0.618,0.08571428571428572,0.5714285714285714
0.0,0.0,0.0,0.0,8.0,0.79,0.6904761904761905,0.023809523809523808,0.63467,0.0,0.7142857142857143
0.38,0.36,0.82,2.0,8.0,0.8,0.26,0.5,0.48633999999999994,0.52,0.24
0.6428571428571429,0.0,0.35714285714285715,4.0,6.0,0.7,0.21428571428571427,0.35714285714285715,0.5393100000000001,0.4642857142857143,0.10714285714285714
0.0,0.0,0.0,0.0,5.0,0.75222,0.64,-0.12,0.66368,0.12,0.4
0.0,0.0,0.0,0.0,7.0,0.6511100000000001,0.0,0.6129032258064516,0.51923,0.03225806451612903,0.5806451612903226
0.0,0.0,0.0,0.0,5.0,0.60778,0.0,0.42857142857142855,0.58139,0.5714285714285714,-0.14285714285714285
0.0,0.0,0.0,0.0,12.0,0.84444,0.17073170731707318,0.5365853658536586,0.58468,0.2682926829268293,0.43902439024390244
0.625,0.0,0.375,3.0,4.0,0.66778,0.5,0.0,0.53861,0.0,0.5
0.0,0.0,0.0,0.0,6.0,1.00778,0.6060606060606061,0.030303030303030304,0.5777899999999999,0.15151515151515152,0.48484848484848486
0.0,0.0,0.0,0.0,4.0,0.67556,0.29411764705882354,0.0,0.40134000000000003,0.11764705882352941,0.17647058823529413
0.5,0.0,0.5,3.0,6.0,0.74,0.0,0.5714285714285714,0.67065,0.10714285714285714,0.4642857142857143
1.0,0.0,0.0,2.0,2.0,0.42333000000000004,0.3076923076923077,-0.23076923076923078,0.6570199999999999,0.07692307692307693,0.0
0.0,0.0,0.0,0.0,6.0,0.9066700000000001,0.0,0.5862068965517241,0.6615800000000001,0.27586206896551724,0.3103448275862069
1.0,0.0,0.0,1.0,1.0,0.9466700000000001,0.6538461538461539,-0.11538461538461539,0.56358,0.6538461538461539,-0.11538461538461539
0.3013698630136986,0.1095890410958904,0.589041095890411,1.0,5.0,1.18444,0.726027397260274,0.1095890410958904,0.6657,0.4657534246575342,0.3698630136986301
