strain,date,image,bit,mt,cp,Venus mean,Venus sd,MitoTracker mean,MitoTracker sd,Chloroplast mean,Chloroplast sd
55,20190916,51,16,yes,no,2117.19,1615.418,4852.116,3297.699,6766.129,3490.03
55,20190916,50,16,yes,no,2727.628,2072.262,8812.137,4051.65,4490.5,3043.916
55,20190916,49,16,yes,no,2946.935,2127.753,6767.849,3522.708,11266.584,3451.11
55,20190916,48,16,yes,no,2922.745,2253.91,5126.757,2740.583,9590.656,3702.203
55,20190916,47,16,yes,no,2958.554,2185.473,7867.095,3486.459,8963.129,3787.462
55,20190916,46,16,yes,no,2785.708,1925.286,4543.635,2115.522,8308.546,3645.722
55,20190916,45,16,yes,no,3138.4,2500.569,8178.467,3711.833,8507.784,3486.273
55,20190916,44,16,yes,no,2910.066,1754.536,7216.201,2826.723,7818.11,4001.061
55,20190916,43,16,yes,no,3078.355,1937.216,6224.292,2719.777,8573.905,2891.806
55,20190916,42,16,yes,no,2661.916,2094.1,2094.766,1388.349,8531.621,3565.872
55,20190916,41,16,yes,no,2854.731,1749.597,7521.155,3230.972,6321.526,2560.322
55,20190916,40,16,yes,no,2789.056,2157.338,5258.197,2854.421,8905.408,2127.436
55,20190916,39,16,yes,no,2356.992,1666.859,8148.24,3847.571,11712.027,3108.259
55,20190916,38,16,yes,no,1619.582,1313.024,6258.245,2742.015,6552.569,2280.545
55,20190916,36,16,yes,no,1890.382,2035.936,4186.291,1997.188,9092.496,2906.751
55,20190916,32,16,yes,no,1672.136,1312.721,6855.371,2767.178,6237.361,2335.806
55,20190916,31,16,yes,no,1163.026,812.768,6190.49,3036.455,3892.462,1034.979
55,20190916,28,16,yes,no,997.165,597.84,4347.327,1965.893,2269.102,758.512
55,20190916,22,16,yes,no,1079.678,706.464,3375.509,1671.443,3387.183,790.757
55,20190916,21,16,yes,no,1008.543,601.626,3735.759,1728.875,2257.179,684.373
55,20190916,19,16,yes,no,974.842,603.735,6259.31,2403.489,2817.308,718.562
55,20190916,17,16,yes,no,978.207,576.644,5603.729,2173.575,2019.507,568.199
55,20190916,16,16,yes,no,1151.645,960.701,2311.101,1309.048,2757.315,808.566
55,20190916,12,16,yes,no,1185.928,816.637,2858.352,1478.31,3244.002,820.506
55,20190916,11,16,yes,no,1181.611,885.981,4508.366,1997.218,2681.059,649.47
55,20190916,10,16,yes,no,1015.255,708.223,4562.38,1958.263,3152.626,999.42
55,20190916,9,16,yes,no,1019.011,607.034,3830.906,1787.115,2721.407,867.785
55,20190916,8,16,yes,no,984.925,718.837,3440.176,1682.092,2532.699,723.797
