PaaHheliquest,Paa.pre.Hheliquest,Paa.post.Hheliquest,Hnetcharge,Seqnetcharge,Hydro,Paa.pre.Hhydro,Paa.post.Hhydro,HydrMom,Paa.pre.Hhydrmom,Paa.post.Hhydrmom
0.41379310344827586,0.0,0.5862068965517241,-1.0,2.0,1.2377799999999999,0.2413793103448276,0.3448275862068966,0.52747,0.3103448275862069,0.27586206896551724
0.0,0.0,0.0,0.0,0.0,1.1355600000000001,0.12903225806451613,0.4838709677419355,0.46026999999999996,0.0,0.6129032258064516
0.0,0.0,0.0,0.0,2.0,1.18111,0.1,0.5,0.4693,0.2,0.4
0.0,0.0,0.0,0.0,-1.0,0.9166700000000001,0.24324324324324326,0.43243243243243246,0.65327,0.10810810810810811,0.5675675675675675
0.0,0.0,0.0,0.0,2.0,1.1866700000000001,0.23333333333333334,0.36666666666666664,0.48648,0.3,0.3
0.42424242424242425,0.0,0.5757575757575758,-2.0,-2.0,0.97444,0.30303030303030304,0.3333333333333333,0.58467,0.09090909090909091,0.5454545454545454
0.0,0.0,0.0,0.0,-1.0,1.2011100000000001,0.23333333333333334,0.36666666666666664,0.3803,0.6333333333333333,-0.03333333333333333
0.0,0.0,0.0,0.0,-1.0,1.2011100000000001,0.23333333333333334,0.36666666666666664,0.36879,0.3333333333333333,0.26666666666666666
0.0,0.0,0.0,0.0,-1.0,1.2011100000000001,0.23333333333333334,0.36666666666666664,0.3803,0.6333333333333333,-0.03333333333333333
0.0,0.0,0.0,0.0,1.0,1.17667,0.3,0.3,0.58004,0.3,0.3
0.0,0.0,0.0,0.0,2.0,1.18111,0.2,0.4,0.4693,0.3,0.3
0.0,0.0,0.0,0.0,1.0,1.17,0.2,0.4,0.50702,0.3,0.3
0.0,0.0,0.0,0.0,2.0,1.20333,0.23333333333333334,0.36666666666666664,0.43409,0.3,0.3
0.0,0.0,0.0,0.0,2.0,1.2377799999999999,0.23333333333333334,0.36666666666666664,0.52747,0.3,0.3
0.0,0.0,0.0,0.0,2.0,1.2377799999999999,0.23333333333333334,0.36666666666666664,0.51968,0.3,0.3
0.0,0.0,0.0,0.0,2.0,0.8911100000000001,0.5666666666666667,0.03333333333333333,0.47373999999999994,0.6666666666666666,-0.06666666666666667
0.0,0.0,0.0,0.0,-2.0,1.00222,0.6,0.0,0.48171,0.0,0.6
0.0,0.0,0.0,0.0,0.0,1.0633299999999999,0.6206896551724138,-0.034482758620689655,0.41423000000000004,0.0,0.5862068965517241
0.0,0.0,0.0,0.0,1.0,0.9533299999999999,0.6206896551724138,-0.034482758620689655,0.41423000000000004,0.0,0.5862068965517241
0.0,0.0,0.0,0.0,0.0,1.03,0.6,0.0,0.46245,0.26666666666666666,0.3333333333333333
0.0,0.0,0.0,0.0,-1.0,1.00222,0.6,0.0,0.47245,0.6666666666666666,-0.06666666666666667
0.0,0.0,0.0,0.0,-1.0,1.00222,0.6,0.0,0.47245,0.6666666666666666,-0.06666666666666667
